advising/counseling,kellynorthrop,,I have developed the skill of appearing to listen intently to someone while I'm actually thinking about other things
advising/counseling,jbreiden,,patience with people
arts & crafts,gwenfla,,arts & crafts
arts & crafts,mtaran,sculpting,"Sculpting: I've been sculpting with (non-hardening) modeling clay since before I can remember and can very quickly (order of a few minutes) make realistic objects, creatures, structures, etc. Let me know ahead of time if you'd like me to demo, since I'd need to bring the clay from home. "
arts & crafts,eschang,,"arts & crafts, drawing"
arts & crafts,mariaines,,collages
arts & crafts,ayshaa,henna,henna artist
arts & crafts,mithra,, Jewelry making - Wire wrapped jewelry and beaded earrings & Pencil sketching and painting
arts & crafts,arsharma,,miniature painting
arts & crafts,magupta,,arts and craft - painting
arts & crafts,mknouse,,Arts & Crafts - I can make really intricate bows: https://plus.sandbox.google.com/photos/instantupload/5687677516175486930
arts & crafts,kchapman,,Art (painting/drawing/charcoals/pastels/colored pencil) & crafts
arts & crafts,jessj,,"painting! I love acrylics or anything. & sewing & anything craft related - christmas ornaments, candlemaking, etc."
arts & crafts,reena,, Making greeting cards
arts & crafts,ldonchak,,arts & crafts
arts & crafts,judithwilliams,knitting,knitting
arts & crafts,kiwijen,,arts & crafts
business,selinakaing,project management,Project Management - I teach basic project management skills for G2G - mostly mix of my own experiences and practical applications.
career development,selinakaing,resume writing,Resume writing - I act as a mentor for college/MBA students and used to do alumni interviews for my alma mater so I'm very used to helping students particularly with editing and resume writing.; 
career development,vgulati,,resume editing
childcare,annier,childcare, Working with children (esp in educational settings) 
communications,xusydoc,,Public Presentation (radio)
communications,cliffredeker,public speaking,public speaking
educational tutoring,valeriew,,tutoring (math and writing)
educational tutoring,saleung,,homework tutoring
educational tutoring,judyc,SAT and math,Homework/SAT Prep tutoring - I taught SAT and math classes for 4 years while I was in grad school
educational tutoring,reena,,- Teaching young kids about science and math
educational tutoring,uke,,homework help
event planning,dgilbert,,"Being a camp counselor for Girl Scouts: song-leading, trail-leading, girl planning."
event planning,emarkman,event planning,"Event planning - Helping several friends plan their weddings. Also on the I/O core team, so planning events is a hobby for work and play! "
fashion/beauty/style,kellynorthrop,haircutting & haircoloring,Haircutting & haircoloring (I have a license and used to work in a salon)
fashion/beauty/style,emarkman,,"Makeup artist - Love doing, playing and reviewing the latest makeup products. "
fashion/beauty/style,annasantos,,"- Beauty and fashion (makeup tips, styling)"
fashion/beauty/style,judithwilliams,,handbags & shoes
finance,ericu,,finance [I give investment advice and referrals to for friends and on financial-planning@]
finance,gurunagarajan,,Finance: Finance major in addition to engineering.
finance,dproctor,,finance
finance,crb,real estate finance,"finance & real estate: i'm the go to person in my network for helping people buy homes, refinance, explain loans, etc."
finance,hamrah,,Finance (personal and corporate finance)
finance,naa,,finance
